attraction,region,county,district,cru,category,category_detail,2011_visitors,2012_visitors,2013_visitors,2014_visitors,2015_visitors,charge,charge_band,size
Attleborough Heritage Group,EAST,Norfolk,Attleborough,Rural,Visitor Centres,Heritage / Visitor Centre,400,501,540,539,650,Free,Free,"10,000 or less"
Audley End House and Gardens,EAST,Essex,Uttlesford,Rural,Historic Properties,Historic House / House and Garden / Palace,136077,134983,143046,148865,150591,Paid,£10.00 or over,"100,001-200,000"
Avebury Manor and Garden,SW,Wiltshire,Wiltshire,Rural,Historic Properties,Historic House / House and Garden / Palace,62036,105654,108432,109273,111736,Paid,£7.50 to £9.99,"100,001-200,000"
Avon Boating,WM,Warwickshire,Stratford-on-Avon,Urban,Other,Other Historic / Scenic transport operator,70000,75000,90000,150000,150000,Paid,£5.00 to £7.49,"100,001-200,000"
Avon Valley Railway,SW,Gloucestershire,South Gloucestershire,Urban,Railways,Steam / Heritage Railway,37000,37891,40377,33950,33071,Paid,£7.50 to £9.99,"20,001-50,000"
Axe Valley Heritage Association,SW,Devon,Seaton,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,2000,2750,3000,3200,3500,Free,Free,"10,000 or less"
Aydon Castle,NE,Northumberland,Northumberland,Rural,Historic Properties,Castle / Fort,5934,4824,7212,7432,7745,Paid,£3.01 to £4.99,"10,000 or less"
Ayscoughfee Hall Museum and Gardens,EM,Lincolnshire,South Holland,Rural,Museums & Art Galleries,Museum and / or Art Gallery,23487,18853,18363,17602,22820,Free,Free,"20,001-50,000"
Baddesley Clinton,WM,WARWICKSHIRE,Warwick,Rural,Historic Properties,Historic House / House and Garden / Palace,167505,175951,196772,188128,198217,Paid,£10.00 or over,"100,001-200,000"
Shorne Wood Country Park,SE,Kent,Gravesend,Rural,Country Parks,Country Park,350000,360500,370500,380000,385000,Free,Free,"Over 200,000"
Bagshaw Museum,Y&H,West Yorkshire,Kirklees,Urban,Museums & Art Galleries,Museum and / or Art Gallery,35000,37935,26721,29823,32241,Free,Free,"20,001-50,000"
BALTIC Centre for Contemporary Art,NE,Tyne and Wear,Gateshead,Urban,Museums & Art Galleries,Museum and / or Art Gallery,465674,456678,529172,515354,518950,Free,Free,"Over 200,000"
Bamburgh Castle,NE,Northumberland,Northumberland,Coastal,Historic Properties,Castle / Fort,135736,125416,119149,137426,145257,Paid,£10.00 or over,"100,001-200,000"
Bancroft Mill,NW,Lancashire,Pendle,Urban,Visitor Centres,Heritage / Visitor Centre,1700,400,400,500,540,Paid,£5.00 to £7.49,"10,000 or less"
Barley Hall,Y&H,NORTH YORKSHIRE,York,Urban,Historic Properties,Historic House / House and Garden / Palace,28000,31077,37828,32075,26260,Free,Free,"20,001-50,000"
Barnard Castle,NE,County Durham,Durham,Rural,Historic Properties,Castle / Fort,16976,15257,17483,17835,20106,Paid,£3.01 to £4.99,"20,001-50,000"
Barnet Museum,LON,GREATER LONDON,Barnet,Urban,Museums & Art Galleries,Museum and / or Art Gallery,4500,5504,5500,5400,6000,Free,Free,"10,000 or less"
Barnsdale Gardens,EM,Rutland,Rutland,Rural,Gardens,Garden,34897,25900,26000,26000,26500,Paid,£7.50 to £9.99,"20,001-50,000"
Barnwell Country Park,EAST,Cambridgeshire,Peterborough,Rural,Country Parks,Country Park,170000,178098,193577,234851,264542,Free,Free,"Over 200,000"
Barrington Court,SW,Somerset,South Somerset,Rural,Historic Properties,Historic House / House and Garden / Palace,80229,98700,86381,90840,108724,Paid,£10.00 or over,"100,001-200,000"
Barton House Railway,EAST,Norfolk,Broadland,Rural,Railways,Steam / Heritage Railway,1147,1003,1134,1268,832,Paid,Under £3.00,"10,000 or less"
Basildon Park,SE,Berkshire,West Berkshire,Rural,Historic Properties,Historic House / House and Garden / Palace,98543,91812,101620,118653,133705,Paid,£10.00 or over,"100,001-200,000"
Batemans,SE,East Sussex,Rother,Rural,Historic Properties,Historic House / House and Garden / Palace,100305,87230,91418,109114,110200,Paid,£10.00 or over,"100,001-200,000"
Canterbury Cathedral,SE,Kent,Canterbury,Urban,Places of Worship,Place of Worship (still in use),1039922,969088,1001266,1004573,957355,Paid,£10.00 or over,"Over 200,000"
Batsford Arboretum,SW,Gloucestershire,Cotswold,Rural,Gardens,Garden,65317,57122,63093,64173,74946,Paid,£7.50 to £9.99,"50,001-100,000"
Battle of Britain Memorial,SE,Kent,Shepway,Coastal,Visitor Centres,Heritage / Visitor Centre,41000,43000,50100,54639,55912,Paid,£5.00 to £7.49,"50,001-100,000"
Bawdsey Radar,EAST,Suffolk,Suffolk Coastal,Coastal,Visitor Centres,Heritage / Visitor Centre,1781,1330,1342,1800,2374,Paid,£3.01 to £4.99,"10,000 or less"
Bayham Old Abbey,SE,Kent,Tunbridge Wells,Rural,Historic Properties,Historic Monument/ Archaeological Site,6068,4950,5522,4026,5056,Paid,£3.01 to £4.99,"10,000 or less"
Bayle Museum,Y&H,EAST RIDING OF YORKSHIRE,East Riding of Yorkshire,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,4765,3002,3040,3367,3364,Paid,Under £3.00,"10,000 or less"
BBC Tours Birmingham,WM,West Midlands,Birmingham,Urban,Visitor Centres,Heritage / Visitor Centre,4174,4197,3863,4479,5232,Paid,£7.50 to £9.99,"10,000 or less"
Beacon Park,WM,Staffordshire,Lichfield,Urban,Country Parks,Country Park,1500000,1967895,2000000,2000000,874000,Free,Free,"Over 200,000"
Beaminster Museum,SW,Dorset,West Dorset,Rural,Museums & Art Galleries,Museum and / or Art Gallery,1598,1864,1428,1485,1224,Paid,Under £3.00,"10,000 or less"
Beamish - The Living Museum of the North,NE,County Durham,Durham,Rural,Museums & Art Galleries,Museum and / or Art Gallery,485000,497115,585982,654357,671441,Paid,£10.00 or over,"Over 200,000"
Beatrix Potter Gallery,NW,Cumbria,South Lakeland,Urban,Museums & Art Galleries,Museum and / or Art Gallery,43812,33765,34565,33668,31446,Paid,£5.00 to £7.49,"20,001-50,000"
Beaulieu National Motor Museum,SE,Hampshire,New Forest,Rural,Museums & Art Galleries,Museum and / or Art Gallery,350608,413528,381555,329889,335065,Paid,£10.00 or over,"Over 200,000"
Beccles and District Museum,EAST,SUFFOLK,Waveney,Urban,Museums & Art Galleries,Museum and / or Art Gallery,1775,1723,1989,2509,2408,Free,Free,"10,000 or less"
Beckstones Art Gallery,NW,Cumbria,Eden,Rural,Museums & Art Galleries,Museum and / or Art Gallery,10000,10000,9250,9500,9000,Free,Free,"10,000 or less"
Bedgebury National Pinetum & Forest,SE,Kent,Tunbridge Wells,Rural,Country Parks,Country Park,236352,376087,365782,350654,353544,Free,Free,"Over 200,000"
Bedlington Country Park Local Nature Reserve,NE,Northumberland,Northumberland,Urban,Country Parks,Country Park,20000,20000,20000,20000,20000,Free,Free,"10,001-20,000"
Beechenhurst; Symonds Yat; Mallards Pike,SW,Gloucestershire,,Rural,Country Parks,Country Park,260000,262543,265800,265432,272547,Free,Free,"Over 200,000"
Beeston Castle,NW,Cheshire,Cheshire West And Chester,Rural,Historic Properties,Castle / Fort,54293,47348,51997,54144,53894,Paid,£5.00 to £7.49,"50,001-100,000"
Belgrave Hall,EM,Leicestershire,Leicester,Urban,Historic Properties,Other Historic Property,16471,15288,7429,10039,11477,Free,Free,"10,001-20,000"
"Belsay Hall, Castle and Gardens",NE,Northumberland,Northumberland,Rural,Historic Properties,Historic House / House and Garden / Palace,57169,55982,64810,58211,55876,Paid,£7.50 to £9.99,"50,001-100,000"
Belton House,EM,Lincolnshire,South Kesteven,Rural,Historic Properties,Historic House / House and Garden / Palace,280028,289492,305780,319886,382124,Paid,£10.00 or over,"Over 200,000"
Belvoir Brewery Ltd,EM,Leicestershire,Melton,Rural,Workplace,Distillery / Vineyard or Brewery,5688,8500,11257,101454,132600,Paid,£7.50 to £9.99,"100,001-200,000"
Bembridge Fort,SE,Isle of Wight,ISLE OF WIGHT,Coastal,Historic Properties,Castle / Fort,600,463,449,562,625,Paid,£3.01 to £4.99,"10,000 or less"
Bembridge Windmill,SE,Isle of Wight,Isle of Wight,Rural,Historic Properties,Other Historic Property,26154,22919,21916,22292,21070,Paid,£5.00 to £7.49,"20,001-50,000"
Beningbrough Hall,Y&H,North Yorkshire,Hambleton,Rural,Historic Properties,Historic House / House and Garden / Palace,130988,120406,127913,131530,130982,Paid,£10.00 or over,"100,001-200,000"
Benthall Hall,WM,Shropshire,Shropshire,Rural,Historic Properties,Historic House / House and Garden / Palace,6804,14347,14270,14828,16847,Paid,£5.00 to £7.49,"10,001-20,000"
Berrington Hall,WM,Herefordshire,Herefordshire,Rural,Historic Properties,Historic House / House and Garden / Palace,74202,67420,65239,74100,80100,Paid,£7.50 to £9.99,"50,001-100,000"
Berry Pomeroy Castle,SW,Devon,South Hams,Rural,Historic Properties,Castle / Fort,15976,15637,16342,16522,18192,Paid,£5.00 to £7.49,"10,001-20,000"
Berwick-upon-Tweed Barracks & Main Guard,NE,Northumberland,Northumberland,Urban,Historic Properties,Castle / Fort,9144,9447,9990,10383,10773,Paid,£3.01 to £4.99,"10,001-20,000"
Bessie Surtees House,NE,Tyne and Wear,Newcastle upon Tyne,Urban,Historic Properties,Historic House / House and Garden / Palace,13114,11555,11869,11395,2404,Free,Free,"10,000 or less"
Biddulph Grange Gardens,WM,Staffordshire,Staffordshire Moorlands,Urban,Gardens,Garden,82395,71875,76895,95000,96800,Paid,£7.50 to £9.99,"50,001-100,000"
Binchester Roman Fort,NE,County Durham,Durham,Rural,Historic Properties,Castle / Fort,4381,4086,4302,4984,5697,Paid,Under £3.00,"10,000 or less"
Birdoswald Roman Fort,NW,Cumbria,Carlisle,Rural,Historic Properties,Castle / Fort,30474,29216,33424,34882,35745,Paid,£5.00 to £7.49,"20,001-50,000"
Birmingham Back to Backs,WM,West Midlands,Birmingham,Urban,Historic Properties,Historic House / House and Garden / Palace,32192,32774,29751,31386,31357,Paid,£7.50 to £9.99,"20,001-50,000"
Birmingham Museum and Art Gallery,WM,West Midlands,Birmingham,Urban,Museums & Art Galleries,Museum and / or Art Gallery,585144,631696,580931,696488,909935,Free,Free,"Over 200,000"
Birmingham Museums Trust,WM,WEST MIDLANDS,Birmingham,Urban,Historic Properties,Historic House / House and Garden / Palace,48365,32763,40456,37419,25451,Paid,£5.00 to £7.49,"20,001-50,000"
Black Country Living Museum,WM,WEST MIDLANDS,Dudley,Urban,Museums & Art Galleries,Museum and / or Art Gallery,298965,249574,240088,271467,292533,Paid,£10.00 or over,"Over 200,000"
Black Rock Nature Reserve,SW,SOMERSET,Sedgemoor,Rural,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,45000,48654,49765,50000,52000,Free,Free,"50,001-100,000"
Black Sheep Brewery Tours,Y&H,NORTH YORKSHIRE,Harrogate,Rural,Workplace,Distillery / Vineyard or Brewery,78000,80000,80000,80000,80000,Paid,£7.50 to £9.99,"50,001-100,000"
"Blackwell, The Arts & Craft House",NW,Cumbria,South Lakeland,Rural,Historic Properties,Historic House / House and Garden / Palace,27000,28976,30053,37610,29307,Paid,£7.50 to £9.99,"20,001-50,000"
Blakesley Hall,WM,WEST MIDLANDS,,Urban,Historic Properties,Historic House / House and Garden / Palace,18931,17149,19943,16653,18557,Paid,£5.00 to £7.49,"10,001-20,000"
Blandford Town Museum,SW,Dorset,North Dorset,Rural,Museums & Art Galleries,Museum and / or Art Gallery,6396,6021,5533,5200,6544,Free,Free,"10,000 or less"
Blenheim Palace,SE,Oxfordshire,West Oxfordshire,Rural,Historic Properties,Historic House / House and Garden / Palace,571567,625055,611464,639929,763045,Paid,£10.00 or over,"Over 200,000"
Bletchley Park,SE,Buckinghamshire,Milton Keynes,Urban,Visitor Centres,Heritage / Visitor Centre,140000,140000,155000,195717,286195,Paid,£10.00 or over,"Over 200,000"
"Blickling Hall, Gardens and Park",EAST,Norfolk,Broadland,Rural,Historic Properties,Historic House / House and Garden / Palace,152014,138398,145607,149873,158958,Paid,£10.00 or over,"100,001-200,000"
Bloxham Village Museum,SE,Oxfordshire,Cherwell,Rural,Museums & Art Galleries,Museum and / or Art Gallery,1077,729,846,1002,582,Paid,Under £3.00,"10,000 or less"
Blue Reef Aquarium,SW,Cornwall,Cornwall,Coastal,Wildlife,Safari Park / Zoo / Aquarium / Aviary,139486,130755,105276,103108,113732,Paid,£10.00 or over,"100,001-200,000"
Boarstall Duck Decoy and Nature Reserve,SE,Buckinghamshire,Aylesbury Vale,Rural,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,1200,1769,737,2240,2766,Paid,£3.01 to £4.99,"10,000 or less"
Boarstall Tower,SE,Buckinghamshire,Aylesbury Vale,Rural,Historic Properties,Other Historic Property,702,2787,2432,1957,935,Paid,Charge - DK,"10,000 or less"
Bocketts Farm Park,SE,Surrey,Mole Valley,Rural,Farms,Farm / Rare Breeds / Farm Animals,170000,170000,185000,220000,260000,Paid,£7.50 to £9.99,"Over 200,000"
Bodiam Castle,SE,East Sussex,Rother,Rural,Historic Properties,Castle / Fort,188319,163942,161453,168719,186460,Paid,£7.50 to £9.99,"100,001-200,000"
Bodmin and Wenford Railway,SW,Cornwall,Cornwall,Rural,Railways,Steam / Heritage Railway,65000,58000,61400,60717,58000,Paid,£10.00 or over,"50,001-100,000"
The Beaney,SE,Kent,Canterbury,Urban,Museums & Art Galleries,Museum and / or Art Gallery,150000,181804,527430,335493,326360,Free,Free,"Over 200,000"
Bolling Hall,Y&H,West Yorkshire,Bradford,Urban,Museums & Art Galleries,Museum and / or Art Gallery,24698,19700,20700,21800,23279,Free,Free,"20,001-50,000"
Bollington Discovvery Centre,NW,Cheshire,Cheshire East,Urban,Visitor Centres,Heritage / Visitor Centre,1500,1908,1628,1614,1601,Free,Free,"10,000 or less"
Bolsover Castle,EM,Derbyshire,Bolsover,Urban,Historic Properties,Castle / Fort,69248,66029,81401,84447,88786,Paid,£7.50 to £9.99,"50,001-100,000"
Bolton Castle,Y&H,NORTH YORKSHIRE,Richmondshire,Rural,Historic Properties,Castle / Fort,28447,27398,28222,28749,28947,Paid,£7.50 to £9.99,"20,001-50,000"
"Bolton Museum, Aquarium and Archive",NW,Greater Manchester,Bolton,Urban,Museums & Art Galleries,Museum and / or Art Gallery,325022,367342,378202,361909,341193,Free,Free,"Over 200,000"
Bolton Steam Museum,NW,Greater Manchester,Bolton,Urban,Museums & Art Galleries,Museum and / or Art Gallery,3396,3899,3063,4330,4060,Free,Free,"10,000 or less"
Jeskyns,SE,Kent,Cobham,Rural,Country Parks,Country Park,190000,210000,225000,230000,241314,Free,Free,"Over 200,000"
Borough Museum and Art Gallery,WM,STAFFORDSHIRE,Newcastle-under-Lyme,Urban,Museums & Art Galleries,Museum and / or Art Gallery,50000,51000,59000,60029,59608,Free,Free,"50,001-100,000"
Boscobel House & the Royal Oak,WM,Staffordshire,South Staffordshire,Rural,Historic Properties,Historic House / House and Garden / Palace,10611,10285,9380,7132,8519,Paid,£5.00 to £7.49,"10,000 or less"
Boston Park Maize Maze,Y&H,South Yorkshire,Doncaster,Rural,Farms,Farm / Rare Breeds / Farm Animals,4295,10000,18000,27000,41000,Paid,£5.00 to £7.49,"20,001-50,000"
Bourne Mill,EAST,Essex,Colchester,Urban,Historic Properties,Other Historic Property,1077,700,800,880,5232,Paid,£3.01 to £4.99,"10,000 or less"
Boydells Dairy Farm,EAST,ESSEX,Braintree,Rural,Farms,Farm / Rare Breeds / Farm Animals,7290,8036,11141,13764,20092,Paid,£5.00 to £7.49,"20,001-50,000"
Bradford Industrial Museum,Y&H,West Yorkshire,Bradford,Urban,Museums & Art Galleries,Museum and / or Art Gallery,65601,51243,48313,55210,59961,Free,Free,"50,001-100,000"
Bradgate Country Park,EM,Leicestershire,Charnwood,Rural,Country Parks,Country Park,470000,480000,490000,501500,467000,Free,Free,"Over 200,000"
Bradley Manor,SW,Devon,Teignbridge,Urban,Historic Properties,Historic House / House and Garden / Palace,3385,4775,4014,5339,5352,Paid,Charge - DK,"10,000 or less"
Brampton Visitors Centre,NW,Cumbria,Brampton,Rural,Visitor Centres,Heritage / Visitor Centre,70000,80000,90000,10100,10630,Free,Free,"10,001-20,000"
Brampton Wood,EAST,Cambridgeshire,Huntingdonshire,Rural,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,50000,50000,20000,20000,20000,Free,Free,"10,001-20,000"
Brandon Marsh Nature Centre,WM,Warwickshire,Rugby,Rural,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,28000,25000,23000,24000,24000,Paid,Under £3.00,"20,001-50,000"
R S P B Pagham Harbour,SE,West Sussex,Chichester,Coastal,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,140000,148000,150000,153081,168187,Free,Free,"100,001-200,000"
Breamore House,SE,Hampshire,New Forest,Rural,Historic Properties,Historic House / House and Garden / Palace,4900,5100,6600,6703,5540,Paid,£7.50 to £9.99,"10,000 or less"
Itchen Valley Country Park,SE,Hampshire,Eastleigh,Rural,Country Parks,Country Park,234371,169258,146827,160147,159780,Free,Free,"100,001-200,000"
Bredgar & Wormshill Light Railway,SE,Kent,Swale,Rural,Railways,Steam / Heritage Railway,6320,5100,6572,6217,6069,Paid,£10.00 or over,"10,000 or less"
Bridewell Museum,EAST,NORFOLK,Norwich,Urban,Museums & Art Galleries,Museum and / or Art Gallery,10000,12000,14000,15910,14767,Paid,£5.00 to £7.49,"10,001-20,000"
Bridgnorth Castle,WM,Shropshire,Shropshire,Urban,Historic Properties,Castle / Fort,4900,5000,5000,5000,5000,Free,Free,"10,000 or less"
Bridgnorth Cliff Railway,WM,Shropshire,Shropshire,Urban,Railways,Steam / Heritage Railway,193643,154000,173051,178210,182436,Paid,Under £3.00,"100,001-200,000"
Bridgnorth Town Hall,WM,Shropshire,Shropshire,Urban,Historic Properties,Other Historic Property,5200,8000,8372,9638,6823,Free,Free,"10,000 or less"
Museum of the History of Science,SE,Oxfordshire,Oxford,Urban,Museums & Art Galleries,Museum and / or Art Gallery,183738,189044,175778,184551,152819,Free,Free,"100,001-200,000"
Brighton Museum & Art Gallery,SE,East Sussex,Brighton and Hove,Urban,Museums & Art Galleries,Museum and / or Art Gallery,245773,269391,268603,245700,148616,Paid,£5.00 to £7.49,"100,001-200,000"
Havant Museum,SE,Hampshire,Havant,Rural,Museums & Art Galleries,Museum and / or Art Gallery,23382,106697,100000,134000,151803,Free,Free,"100,001-200,000"
Brill Windmill,SE,Buckinghamshire,Aylesbury Vale,Rural,Workplace,Industrial / Craft Workplace,580,900,800,800,450,Paid,Under £3.00,"10,000 or less"
Brinkburn Priory,NE,Northumberland,Northumberland,Rural,Historic Properties,Historic Monument/ Archaeological Site,4556,4275,4015,4065,4614,Paid,£3.01 to £4.99,"10,000 or less"
